size,time
100,3.9261799975065516e-05
200,9.773520014277892e-05
300,0.00022022600005584537
400,0.00035906220000470057
500,0.0005146792000232381
600,0.0007681814002353348
700,0.0009729765997690265
800,0.0012332093001532485
900,0.00153113249962189
1000,0.0018788179999319255
2000,0.007477675700101827
3000,0.016452539500096463
4000,0.029420018100063318
5000,0.04878326059988467
6000,0.06562979640038975
7000,0.08918305599981977
8000,0.11644307270016725
9000,0.14729173420000735
10000,0.18289748480019624
20000,0.727723861600316
30000,1.6392467088995546
40000,2.9094761575999657
50000,4.545894448999934
60000,6.547268049899867
70000,8.910925996699916
80000,11.647218113399868
90000,14.73166194239966
100000,18.189741663799943
