size,time
100,3.659380017779767e-05
200,0.00014578869995602873
300,0.0003272706997449859
400,0.0005825312000524718
500,0.0009568149003825966
600,0.001310646700221696
700,0.0017844405001596897
800,0.0023944886999743174
900,0.0029478033999112085
1000,0.003641817999778141
2000,0.014602859300066485
3000,0.03280638030009868
4000,0.05836254179976095
5000,0.09121604489955644
6000,0.13126867430037237
7000,0.18049848199971166
8000,0.23337577150014113
9000,0.2955850136000663
10000,0.3650407469003767
20000,1.4599473960000977
30000,3.284773198399853
40000,5.840831262499887
50000,9.124331331099892
60000,13.170279448600013
70000,17.881867555200188
80000,23.35131100430026
90000,29.5572941284001
100000,36.48845154090013
