size,time
100,3.1791001674719155e-05
200,0.00012089298979844898
300,0.0002689929970074445
400,0.0004989180015400052
500,0.0007666560122743249
600,0.001111999008571729
700,0.0015196879976429045
800,0.002004428009968251
900,0.0027352540055289865
1000,0.003247364002163522
2000,0.01680841200868599
3000,0.0429391149955336
4000,0.08329419000074267
5000,0.13227502000518143
6000,0.18889150400354993
7000,0.26711545600846875
8000,0.401714143998106
9000,0.5447799670073437
10000,0.7063060880027479
20000,3.2557199860020773
30000,7.618347950003226
40000,15.631281682988629
